cost = 0.248634, w1 = 2.456403, w2 = -2.595295
cost = 0.248634, w1 = 2.456404, w2 = -2.595163
cost = 0.248634, w1 = 2.456405, w2 = -2.595031
cost = 0.248634, w1 = 2.456406, w2 = -2.594898
cost = 0.248633, w1 = 2.456407, w2 = -2.594766
cost = 0.248633, w1 = 2.456408, w2 = -2.594633
cost = 0.248633, w1 = 2.456409, w2 = -2.594501
cost = 0.248633, w1 = 2.456411, w2 = -2.594368
cost = 0.248632, w1 = 2.456412, w2 = -2.594236
cost = 0.248632, w1 = 2.456413, w2 = -2.594103
cost = 0.248632, w1 = 2.456414, w2 = -2.593971
cost = 0.248632, w1 = 2.456415, w2 = -2.593839
cost = 0.248632, w1 = 2.456417, w2 = -2.593706
cost = 0.248631, w1 = 2.456418, w2 = -2.593574
cost = 0.248631, w1 = 2.456419, w2 = -2.593442
cost = 0.248631, w1 = 2.456420, w2 = -2.593310
cost = 0.248631, w1 = 2.456421, w2 = -2.593178
cost = 0.248630, w1 = 2.456422, w2 = -2.593046
cost = 0.248630, w1 = 2.456423, w2 = -2.592914
cost = 0.248630, w1 = 2.456424, w2 = -2.592782
cost = 0.248630, w1 = 2.456424, w2 = -2.592650
cost = 0.248629, w1 = 2.456425, w2 = -2.592518
cost = 0.248629, w1 = 2.456426, w2 = -2.592386
cost = 0.248629, w1 = 2.456427, w2 = -2.592253
cost = 0.248629, w1 = 2.456428, w2 = -2.592121
cost = 0.248629, w1 = 2.456429, w2 = -2.591990
cost = 0.248628, w1 = 2.456430, w2 = -2.591857
cost = 0.248628, w1 = 2.456432, w2 = -2.591725
cost = 0.248628, w1 = 2.456433, w2 = -2.591593
cost = 0.248628, w1 = 2.456434, w2 = -2.591461
cost = 0.248627, w1 = 2.456435, w2 = -2.591329
cost = 0.248627, w1 = 2.456436, w2 = -2.591197
cost = 0.248627, w1 = 2.456438, w2 = -2.591065
cost = 0.248627, w1 = 2.456439, w2 = -2.590933
cost = 0.248626, w1 = 2.456440, w2 = -2.590801
cost = 0.248626, w1 = 2.456441, w2 = -2.590669
cost = 0.248626, w1 = 2.456442, w2 = -2.590537
cost = 0.248626, w1 = 2.456443, w2 = -2.590405
cost = 0.248626, w1 = 2.456444, w2 = -2.590273
cost = 0.248625, w1 = 2.456445, w2 = -2.590141
cost = 0.248625, w1 = 2.456446, w2 = -2.590010
cost = 0.248625, w1 = 2.456447, w2 = -2.589878
cost = 0.248625, w1 = 2.456448, w2 = -2.589746
cost = 0.248624, w1 = 2.456449, w2 = -2.589615
cost = 0.248624, w1 = 2.456450, w2 = -2.589483
cost = 0.248624, w1 = 2.456451, w2 = -2.589352
cost = 0.248624, w1 = 2.456452, w2 = -2.589220
cost = 0.248623, w1 = 2.456453, w2 = -2.589088
cost = 0.248623, w1 = 2.456454, w2 = -2.588957
cost = 0.248623, w1 = 2.456455, w2 = -2.588825
cost = 0.248623, w1 = 2.456456, w2 = -2.588694
cost = 0.248623, w1 = 2.456457, w2 = -2.588562
cost = 0.248622, w1 = 2.456459, w2 = -2.588430
